City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,yellowknife,40,CA,1525145040,51,62.45,-114.38,35.6,9.17
1,hobart,0,AU,1525141800,37,-42.88,147.33,69.8,11.41
2,berdigestyakh,0,RU,1525145703,41,62.1,126.7,45.09,3.71
3,clevelandia,48,BR,1525145703,76,-26.4,-52.47,68.4,2.93
4,albany,90,US,1525145040,87,42.65,-73.75,44.6,3.36
5,saint-pierre,75,FR,1525143600,100,48.95,4.24,42.8,11.41
6,carcassonne,75,FR,1525143600,81,43.21,2.35,50.0,9.17
7,goderich,0,CA,1525145707,58,43.74,-81.71,44.91,8.63
8,thinadhoo,88,MV,1525145707,100,0.53,72.93,84.6,14.79
9,blairmore,40,CA,1525143600,61,49.61,-114.44,46.4,11.41
10,hofn,64,IS,1525145708,100,64.25,-15.21,39.06,7.63
11,sao filipe,44,CV,1525145708,97,14.9,-24.5,71.01,19.26
12,castro,92,CL,1525145709,100,-42.48,-73.76,44.73,3.49
13,tuktoyaktuk,75,CA,1525143600,80,69.44,-133.03,37.4,12.75
14,north bend,40,US,1525144500,76,43.41,-124.22,50.0,10.29
15,busselton,44,AU,1525145710,100,-33.64,115.35,64.62,13.78
16,hasaki,75,JP,1525143600,42,35.73,140.83,80.6,4.7
17,bredasdorp,0,ZA,1525145711,100,-34.53,20.04,54.63,5.06
18,bijar,56,IR,1525145712,96,35.87,47.6,37.71,3.15
19,rikitea,80,PF,1525145712,100,-23.12,-134.97,78.03,2.71
20,jamestown,64,AU,1525145558,30,-33.21,138.6,68.31,9.42
21,sao jose da coroa grande,80,BR,1525145713,100,-8.9,-35.15,75.15,4.61
22,atuona,0,PF,1525145713,99,-9.8,-139.03,81.72,16.02
23,kapaa,90,US,1525143360,73,22.08,-159.32,75.2,11.41
24,vaini,36,IN,1525145714,88,15.34,74.49,74.43,3.49
25,nouadhibou,56,MR,1525143600,72,20.93,-17.03,62.6,17.22
26,hermanus,8,ZA,1525145715,80,-34.42,19.24,39.6,3.49
27,beringovskiy,8,RU,1525145647,93,63.05,179.32,34.02,5.06
28,tasiilaq,0,GL,1525143000,67,65.61,-37.64,21.2,3.36
29,wagar,0,US,1525145717,43,31.44,-87.99,67.41,5.5
30,carnarvon,0,ZA,1525145679,69,-30.97,22.13,39.33,6.51
31,butaritari,88,KI,1525145718,100,3.07,172.79,83.16,11.43
32,port alfred,0,ZA,1525145718,91,-33.59,26.89,66.06,15.12
33,cherskiy,76,RU,1525145719,89,68.75,161.3,21.96,3.6
34,saint-philippe,90,CA,1525144500,100,45.36,-73.48,48.2,6.62
35,duluth,40,US,1525144500,86,46.77,-92.13,60.8,10.29
36,avarua,40,CK,1525143600,78,-21.21,-159.78,80.6,6.93
37,isangel,80,VU,1525145721,100,-19.55,169.27,73.62,12.77
38,vao,92,EE,1525145721,87,59.1,26.19,44.01,9.53
39,te anau,92,NZ,1525145722,97,-45.41,167.72,49.86,3.49
40,jinxiang,8,CN,1525145722,94,35.07,116.31,75.6,4.5
41,mataura,92,NZ,1525145723,99,-46.19,168.86,52.56,17.81
42,qaanaaq,0,GL,1525145724,73,77.48,-69.36,-3.42,6.4
43,cabo san lucas,5,MX,1525142880,53,22.89,-109.91,75.2,4.7
44,kodiak,1,US,1525143180,43,39.95,-94.76,73.4,18.34
45,port blair,80,IN,1525145725,99,11.67,92.75,86.58,9.75
46,ribeira grande,76,PT,1525145726,100,38.52,-28.7,61.47,12.21
47,georgetown,40,GY,1525143600,100,6.8,-58.16,75.2,3.36
48,chokurdakh,0,RU,1525145727,100,70.62,147.9,20.16,7.07
49,mahebourg,75,MU,1525143600,65,-20.41,57.7,78.8,11.41
50,laurel,75,US,1525143180,87,45.67,-108.77,44.6,4.7
51,sungai besar,75,MY,1525140000,78,3.68,100.99,82.4,2.24
52,balclutha,92,NZ,1525145729,89,-46.24,169.74,54.45,22.17
53,bethel,75,US,1525143180,65,60.79,-161.76,41.0,26.4
54,cidreira,64,BR,1525145646,98,-30.17,-50.22,69.3,7.07
55,puerto ayora,8,EC,1525145630,99,-0.74,-90.35,77.13,9.19
56,lazaro cardenas,5,MX,1525142940,13,28.39,-105.62,77.0,13.87
57,vostok,68,RU,1525145732,35,46.45,135.83,51.3,2.93
58,cabedelo,75,BR,1525143600,88,-6.97,-34.84,75.2,8.19
59,iquitos,40,PE,1525143600,94,-3.75,-73.25,77.0,3.04
60,ushuaia,0,AR,1525140000,95,-54.81,-68.31,41.0,13.78
61,ximei,75,TW,1525143600,70,23.74,120.51,84.2,9.17
62,assiniboia,8,CA,1525145735,52,49.63,-105.99,44.1,4.72
63,troitsko-pechorsk,68,RU,1525145735,80,62.71,56.19,31.05,7.4
64,bambous virieux,75,MU,1525143600,65,-20.34,57.76,78.8,11.41
65,komsomolskiy,80,RU,1525145736,93,67.55,63.78,22.41,13.78
66,jambi,44,ID,1525145737,91,-1.6,103.62,82.98,4.05
67,east london,0,ZA,1525143600,76,-33.02,27.91,57.2,8.05
68,barrow,32,AR,1525145738,88,-38.31,-60.23,40.59,2.71
69,emerald,44,AU,1525145739,44,-23.53,148.16,79.2,9.75
70,kununurra,0,AU,1525141800,27,-15.77,128.74,91.4,8.05
71,sungairaya,8,ID,1525145740,94,0.7,108.9,83.97,3.49
72,gat,0,SN,1525143600,60,14.69,-16.54,73.4,6.93
73,aklavik,75,CA,1525143600,56,68.22,-135.01,44.6,8.05
74,helensburgh,8,GB,1525143000,86,56.01,-4.73,35.6,1.12
75,shelton,90,US,1525144500,76,47.22,-123.1,55.4,8.05
76,abbeville,0,FR,1525143600,81,50.11,1.83,46.4,5.82
77,nanortalik,88,GL,1525145743,91,60.14,-45.24,32.22,21.72
78,provideniya,0,RU,1525143600,58,64.42,-173.23,28.4,15.66
79,alice springs,0,AU,1525143600,17,-23.7,133.88,84.2,10.29
80,san patricio,12,PY,1525145745,72,-26.98,-56.83,75.33,5.39
81,hilo,90,US,1525143360,88,19.71,-155.08,73.4,4.7
82,new norfolk,0,AU,1525141800,37,-42.78,147.06,69.8,11.41
83,hithadhoo,80,MV,1525145747,99,-0.6,73.08,85.23,17.25
84,ulladulla,0,AU,1525140000,46,-35.36,150.48,71.6,3.36
85,batagay-alyta,12,RU,1525145681,86,67.8,130.41,31.95,6.51
86,jaffna,8,LK,1525145626,99,9.67,80.01,87.57,8.41
87,namibe,0,AO,1525145706,100,-15.19,12.15,77.31,3.49
88,boa vista,88,BR,1525145723,99,2.82,-60.67,73.35,4.94
89,coruripe,92,BR,1525145750,100,-10.12,-36.18,79.02,8.63
90,saldanha,0,PT,1525145636,94,41.42,-6.55,31.5,2.71
